# tracer: nop
#
# entries-in-buffer/entries-written: 1338/1338   #P:2
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
              sh-9185    [001] ..... 36818.834452: xhci_dbg_init: // Halt the HC
              sh-9185    [001] ..... 36818.834476: xhci_dbg_init: // Reset the HC
              sh-9185    [001] ..... 36818.834635: xhci_dbg_init: Wait for controller to be ready for doorbell rings
              sh-9185    [001] ..... 36818.834641: xhci_dbg_init: xhci_init
              sh-9185    [001] ..... 36818.834642: xhci_dbg_init: xHCI doesn't need link TRB QUIRK
              sh-9185    [001] ..... 36818.834648: xhci_dbg_init: HCD page size set to 4K
              sh-9185    [001] ..... 36818.834653: xhci_dbg_init: // xHC can handle at most 32 device slots.
              sh-9185    [001] ..... 36818.834658: xhci_dbg_init: // Setting Max device slots reg = 0x20.
              sh-9185    [001] ..... 36818.834667: xhci_dbg_init: // Device context base array address = 0x0x000000004fbf2000 (DMA), 000000000008c29c (virt)
              sh-9185    [001] ..... 36818.834681: xhci_ring_alloc: CMD 000000003daf44b1: enq 0x000000004fbf3000(0x000000004fbf3000) deq 0x000000004fbf3000(0x000000004fbf3000) segs 1 stream 0 bounce 0 cycle 1
              sh-9185    [001] ..... 36818.834682: xhci_dbg_init: Allocated command ring at 000000003daf44b1
              sh-9185    [001] ..... 36818.834683: xhci_dbg_init: First segment DMA is 0x0x000000004fbf3000
              sh-9185    [001] ..... 36818.834691: xhci_dbg_init: // Setting command ring address to 0x000000004fbf3001
              sh-9185    [001] ..... 36818.834800: xhci_dbg_init: // Doorbell array is located at offset 0x680 from cap regs base addr
              sh-9185    [001] ..... 36818.834801: xhci_dbg_init: Allocating primary event ring
              sh-9185    [001] ..... 36818.834804: xhci_ring_alloc: EVENT 0000000025a93397: enq 0x000000004fbf4000(0x000000004fbf4000) deq 0x000000004fbf4000(0x000000004fbf4000) segs 1 stream 0 bounce 0 cycle 1
              sh-9185    [001] ..... 36818.834829: xhci_dbg_init: // Write event ring dequeue pointer, preserving EHB bit
              sh-9185    [001] ..... 36818.834837: xhci_dbg_init: Allocating 0 scratchpad buffers
              sh-9185    [001] ..... 36818.834869: xhci_dbg_init: Ext Cap 00000000c0d57fba, port offset = 1, count = 12, revision = 0x3
              sh-9185    [001] ..... 36818.834886: xhci_dbg_init: Ext Cap 0000000033047f68, port offset = 13, count = 2, revision = 0x2
              sh-9185    [001] ..... 36818.834887: xhci_dbg_init: Found 2 USB 2.0 ports and 12 USB 3.0 ports.
              sh-9185    [001] ..... 36818.834896: xhci_dbg_init: Finished xhci_init
              sh-9185    [001] ..... 36818.835680: xhci_dbg_init: xhci_run
              sh-9185    [001] ..... 36818.835691: xhci_dbg_init: ERST deq = 64'h4fbf4000
              sh-9185    [001] ..... 36818.835700: xhci_dbg_init: Finished xhci_run for main hcd
              sh-9185    [001] dN.1. 36818.838491: xhci_dbg_init: Enable interrupts
              sh-9185    [001] dN.1. 36818.838506: xhci_dbg_init: Enable primary interrupter
              sh-9185    [001] dN.1. 36818.838518: xhci_dbg_init: // Turn on HC, cmd = 0x5.
              sh-9185    [001] dN.1. 36818.838579: xhci_ring_host_doorbell: Ring doorbell for Command Ring 0
     kworker/1:2-6045    [001] d..1. 36818.865834: xhci_get_port_status: port 1-0: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/1:2-6045    [001] d..1. 36818.865855: xhci_get_port_status: port 1-1: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/1:2-6045    [001] d..1. 36818.865955: xhci_hub_status_data: port 1-0: 0x0a0002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: WCE WOE 
