| boot | lane | time | verdict | break_hit | signature |
|---|---|---|---|---|---|
| 1 | a | 20:45:04 | clean | 0 | none |
| 2 | b | 20:45:04 | clean | 0 | none |
| 3 | a | 20:46:48 | clean | 0 | none |
| 4 | b | 20:46:49 | clean | 0 | none |
| 5 | a | 20:48:33 | clean | 0 | none |
| 6 | b | 20:48:33 | clean | 0 | none |
| 7 | a | 20:50:18 | clean | 0 | none |
| 8 | b | 20:50:18 | clean | 0 | none |
| 9 | a | 20:52:02 | clean | 0 | none |
| 10 | b | 20:52:02 | clean | 0 | none |
| 11 | a | 20:53:47 | clean | 0 | none |
| 12 | b | 20:53:46 | clean | 0 | none |
| 13 | a | 20:55:31 | clean | 0 | none |
| 14 | b | 20:55:31 | clean | 0 | none |
| 15 | a | 20:57:16 | clean | 0 | none |
| 16 | b | 20:57:16 | clean | 0 | none |
| 17 | a | 20:59:00 | clean | 0 | none |
| 18 | b | 20:59:00 | clean | 0 | none |
| 19 | a | 21:00:45 | clean | 0 | none |
| 20 | b | 21:00:45 | clean | 0 | none |
| 21 | a | 21:02:29 | clean | 0 | none |
| 22 | b | 21:02:29 | clean | 0 | none |
| 23 | a | 21:04:14 | clean | 0 | none |
| 24 | b | 21:04:14 | clean | 0 | none |
| 25 | a | 21:06:04 | clean | 0 | none |
| 26 | b | 21:06:04 | clean | 0 | none |
| 27 | a | 21:07:49 | clean | 0 | none |
| 28 | b | 21:07:49 | clean | 0 | none |
| 29 | a | 21:09:33 | clean | 0 | none |
| 30 | b | 21:09:33 | clean | 0 | none |
| 31 | a | 21:11:18 | clean | 0 | none |
| 32 | b | 21:11:18 | clean | 0 | none |
| 33 | a | 21:13:03 | clean | 0 | none |
| 34 | b | 21:13:03 | clean | 0 | none |
| 35 | a | 21:14:47 | clean | 0 | none |
| 36 | b | 21:14:47 | clean | 0 | none |
| 37 | a | 21:16:31 | clean | 0 | none |
| 38 | b | 21:16:31 | clean | 0 | none |
| 39 | a | 21:18:16 | clean | 0 | none |
| 40 | b | 21:18:16 | clean | 0 | none |
| 41 | a | 21:20:01 | clean | 0 | none |
| 42 | b | 21:20:01 | clean | 0 | none |
| 43 | a | 21:21:45 | clean | 0 | none |
| 44 | b | 21:21:45 | clean | 0 | none |
| 45 | a | 21:23:30 | clean | 0 | none |
| 46 | b | 21:23:30 | clean | 0 | none |
| 47 | a | 21:25:14 | clean | 0 | none |
| 48 | b | 21:25:14 | clean | 0 | none |
| 49 | a | 21:26:59 | clean | 0 | none |
| 50 | b | 21:26:59 | clean | 0 | none |
| 51 | a | 21:28:44 | clean | 0 | none |
| 52 | b | 21:28:44 | clean | 0 | none |
| 53 | a | 21:30:28 | clean | 0 | none |
| 54 | b | 21:30:28 | clean | 0 | none |
| 55 | a | 21:32:13 | clean | 0 | none |
