boot	verdict	marker_seen	failing_processes	load1m
boot01	FAIL	True	loopback_wake_test_child:13,loopback_wake_test_child:-9,loopback_wake_test_child:-9,loopback_wake_test:1	1.35
boot02	PASS	True	-	1.35
boot03	PASS	True	-	1.35
boot04	PASS	True	-	1.35
boot05	PASS	True	-	1.04
boot06	FAIL	True	loopback_wake_test_child:15,loopback_wake_test:1,/usr/local/test/bin/clon:1	1.04
boot07	PASS	True	-	1.04
boot08	PASS	True	-	1.04
boot09	PASS	True	-	0.93
boot10	FAIL	True	/usr/local/test/bin/clon:1	0.93
boot11	PASS	True	-	0.93
boot12	PASS	True	-	0.93
boot13	PASS	True	-	1.15
boot14	FAIL	True	/usr/local/test/bin/clon:1	1.15
boot15	PASS	True	-	1.15
boot16	PASS	True	-	1.15
boot17	PASS	True	-	0.12
boot18	PASS	True	-	0.12
boot19	PASS	True	-	0.12
boot20	FAIL	True	clock_gettime_test:1	0.12
boot21	PASS	True	-	1.03
boot22	PASS	True	-	1.03
boot23	FAIL	True	/usr/local/test/bin/clon:1	1.03
boot24	FAIL	True	loopback_wake_test_child:15,loopback_wake_test:1	1.03
boot25	PASS	True	-	1.04
