boot	verdict	tid	lat	w0_to_pre	pre_to_data	write_ms	load_gap	wd_overrun	probe_gap	unblock	woken	lines	ms_per_line	resumes
boot-001	clean	28	1184	0	1228	1194	2063	106		2198	2293	95	12.5	2
boot-002	clean	30	1320	0	1361	1341	1853	185		2238	2367	129	10.2	1
boot-003	clean	30	1601	0	1639	1228	1560	680		2219	2392	173	9.3	2
boot-004	clean	30	982	0	983	1045	3653	129			2659	130	7.6	1
boot-005	clean	28	971	0	1825	1073	2169	257		2291	2387	96	10.1	1
boot-006	clean	29	1255	1238	17	1309	2626	17388			2691	198	6.3	1
boot-007	clean	30	1867	0	1908	1882	937	100		2269	2467	198	9.4	2
boot-008	clean	27	1365	1349	16	42	974	229			2639	209	6.5	1
boot-009	clean	29	2538	2521	17	42	2951	3019		2518	2573	55	46.1	1
boot-010	clean	30	388	0	437	395	1622	96		2524	2551	27	14.4	1
boot-011	clean	28	1283	0	1324	579	1309	759		2217	2356	139	9.2	2
boot-012	clean	30	1282	1265	17	44	988	576			2751	283	4.5	1
boot-013	exit15	30	886	870	16	995	6782	435			2989	429	2.1	4
boot-014	clean	30	880	0	1871	220	1041	756		2650	2658	8	110.0	1
boot-015	clean	28	2253	0	2300	1816	1404	340		2177	2350	173	13.0	1
boot-016	clean	28	1633	0	1674	1276	1176	384		2172	2323	151	10.8	2
boot-017	exit15	28	1256	0	1297	1262	1832	207		2204	2319	115	10.9	1
boot-018	clean	30	1624	1606	18	501	742	718			2697	129	12.6	1
boot-019	clean	27	1445	883	562	886	1399	446			2643	214	6.8	1
boot-020	clean	28	2056	0	2098	2066	1015	1081		2123	2339	216	9.5	1
boot-021	clean	30	1241	0	1282	1356	2309	163		2424	2546	122	10.2	1
boot-022	clean	30	977	960	17	1089	1807	429			2840	154	6.3	1
boot-023	clean	27	1814	0	1856	1876	820	3605		2107	2292	185	9.8	1
boot-024	clean	27	1200	1184	16	45	1058	112			2580	252	4.8	1
boot-025	clean	28	1286	0	1329	1293	1138	1039		2210	2332	122	10.5	1
boot-026	clean	30	743	0	781	791	939	3076		2234	2308	74	10.0	1
boot-027	clean	29	1211	1194	17	1229	1116	586			2630	186	6.5	1
boot-028	clean	29	1228	0	1269	1244	1110	2062		2251	2371	120	10.2	1
boot-029	clean	28	1398	0	1439	1415	1309	520		2193	2329	136	10.3	1
