boot	past_disk_loading	kernel_base	trace_enabled	cpu0_events	validation	exit_marker
01	yes	0x10000000000	0x1	CPU0: 520 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
02	yes	0x10000000000	0x1	CPU0: 591 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
03	yes	0x10000000000	0x1	CPU0: 530 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
04	yes	0x10000000000	0x1	CPU0: 498 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
05	yes	0x10000000000	0x1	CPU0: 545 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
06	yes	0x10000000000	0x1	CPU0: 610 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
07	yes	0x10000000000	0x1	CPU0: 518 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
08	yes	0x10000000000	0x1	CPU0: 534 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
09	yes	0x10000000000	0x1	CPU0: 555 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
10	yes	0x10000000000	0x1	CPU0: 535 events	TRACE_VALIDATION:PASS	TRACING_EVIDENCE:x86_64:PASS
