# tracer: function
#
# entries-in-buffer/entries-written: 739/739   #P:4
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [000] dnh1. 83409.073155: irq_handler_entry: irq=1 name=IPI
          <idle>-0       [000] dNh1. 83409.073157: irq_handler_exit: irq=1 ret=handled
              dd-6447    [000] d.h.. 83409.073390: irq_handler_entry: irq=10 name=arch_timer
              dd-6447    [000] d.h.. 83409.073400: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.073431: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [001] d.h1. 83409.073432: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [002] d.h1. 83409.073440: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [002] dNh1. 83409.073450: irq_handler_exit: irq=2 ret=handled
              dd-6447    [000] d.h.. 83409.074393: irq_handler_entry: irq=10 name=arch_timer
              dd-6447    [000] d.h.. 83409.074406: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.074414: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [001] d.h1. 83409.074415: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [003] d.h1. 83409.074529: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [003] dNh1. 83409.074532: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [000] dnh1. 83409.074706: irq_handler_entry: irq=1 name=IPI
          <idle>-0       [000] dNh1. 83409.074706: irq_handler_exit: irq=1 ret=handled
           sleep-6448    [000] d.h.. 83409.075396: irq_handler_entry: irq=10 name=arch_timer
           sleep-6448    [000] d.h.. 83409.075406: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.075565: irq_handler_entry: irq=10 name=arch_timer
