666:[TRACE] CPU0 idx=125 ts=1391652179 type=0x070a BWM_COMPOSITE_FRAME_ENTER width<<16|height=83887040
670:[TRACE] CPU0 idx=129 ts=1391732120 type=0x0700 VIRTGPU_CMD_SUBMIT seq<<16|cmd_type=1745289733
671:[TRACE] CPU0 idx=130 ts=1391732124 type=0x0701 VIRTGPU_CMD_RESOURCE resource_id=2
672:[TRACE] CPU0 idx=131 ts=1391732132 type=0x0702 VIRTGPU_Q_NOTIFY used_idx_before<<16|head_desc_idx=1745420288
673:[TRACE] CPU0 idx=132 ts=1391732135 type=0x0710 VIRTGPU_WAIT_COMPLETION_ENTER resource_id<<16|cmd_type=131589
674:[TRACE] CPU0 idx=133 ts=1391732620 type=0xff10 WAIT_TIMEOUT_STAGE stage<<16|tid=14
675:[TRACE] CPU0 idx=134 ts=1391732620 type=0xff11 WAIT_TIMEOUT_SP sp_low32=1411798192
676:[TRACE] CPU0 idx=135 ts=1391732620 type=0xff12 WAIT_TIMEOUT_X30 x30_low32=1075301500
677:[TRACE] CPU0 idx=136 ts=1391732620 type=0xff28 WAIT_TIMEOUT_SLOT20 slot20_low32=1411798204
678:[TRACE] CPU0 idx=137 ts=1391732688 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=917504
687:[TRACE] CPU0 idx=146 ts=1391770840 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=14
689:[TRACE] CPU0 idx=148 ts=1391770845 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196608
690:[TRACE] CPU0 idx=149 ts=1391770846 type=0xff3a DEFER_REQUEUE_SP sp_low32=1107296064
691:[TRACE] CPU0 idx=150 ts=1391770846 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1074588060
692:[TRACE] CPU0 idx=151 ts=1391770846 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1074588060
693:[TRACE] CPU0 idx=152 ts=1391770846 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=1281
699:[TRACE] CPU0 idx=158 ts=1391770955 type=0x0703 VIRTGPU_Q_COMPLETE used_idx_after<<16|head_desc_idx=1745485824
700:[TRACE] CPU0 idx=159 ts=1391770956 type=0x0711 VIRTGPU_WAIT_COMPLETION_EXIT resource_id<<16|cmd_type=131589
701:[TRACE] CPU0 idx=160 ts=1391770961 type=0x0704 VIRTGPU_RESPONSE resp_type=4352
702:[TRACE] CPU0 idx=161 ts=1391770974 type=0x0700 VIRTGPU_CMD_SUBMIT seq<<16|cmd_type=1745355011
703:[TRACE] CPU0 idx=162 ts=1391770975 type=0x0701 VIRTGPU_CMD_RESOURCE resource_id=2
704:[TRACE] CPU0 idx=163 ts=1391770979 type=0x0702 VIRTGPU_Q_NOTIFY used_idx_before<<16|head_desc_idx=1745485824
705:[TRACE] CPU0 idx=164 ts=1391770979 type=0x0710 VIRTGPU_WAIT_COMPLETION_ENTER resource_id<<16|cmd_type=131331
706:[TRACE] CPU0 idx=165 ts=1391771822 type=0x0703 VIRTGPU_Q_COMPLETE used_idx_after<<16|head_desc_idx=1745551360
707:[TRACE] CPU0 idx=166 ts=1391771822 type=0x0711 VIRTGPU_WAIT_COMPLETION_EXIT resource_id<<16|cmd_type=131331
708:[TRACE] CPU0 idx=167 ts=1391771824 type=0x0704 VIRTGPU_RESPONSE resp_type=4352
709:[TRACE] CPU0 idx=168 ts=1391771825 type=0x070c VIRTGPU_FLUSH_ENTER resource_id<<16|helper_id<<8|caller_tag=131078
710:[TRACE] CPU0 idx=169 ts=1391771826 type=0x0700 VIRTGPU_CMD_SUBMIT seq<<16|cmd_type=1745420548
711:[TRACE] CPU0 idx=170 ts=1391771826 type=0x0701 VIRTGPU_CMD_RESOURCE resource_id=2
