240:[ahci] Platform AHCI at phys 0x2140000, virt 0xffff000002140000
249:[drivers] AHCI initialized (platform MMIO): 2 SATA device(s)
272:[ext2] No VirtIO block device, trying AHCI...
273:[ext2] AHCI device 0: 131072 sectors (64 MB)
274:[ext2] AHCI device 0: not ext2 (magic=0x0064)
275:[ext2] AHCI device 1: 524288 sectors (256 MB)
276:[ext2] Found ext2 superblock on AHCI device 1
23262:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
24280:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
31568:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
32586:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
39873:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
40892:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
48099:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
49117:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
56404:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
57422:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
64710:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
65728:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
73017:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
74035:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
81322:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
82340:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
89627:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
90645:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
97936:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
98954:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
106241:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
107260:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
114547:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
115565:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
122695:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
123713:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
131001:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
132019:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
139306:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
140325:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
147527:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
148545:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
155832:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
156766:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
164054:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
165072:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
172359:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
173377:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
180665:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
181683:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
188970:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
189988:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
197276:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
198294:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
205581:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
206600:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
213887:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
